Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
53mm tamper espresso,0,2,0,35,0%,5.71%,0,5.94
mini vivaldi espresso machine,0,2,0,32,0%,6.25%,0,6.03
isomac parts,0,2,0,32,0%,6.25%,0,13.91
lavazza cappuccino cups,0,2,0,32,0%,6.25%,0,30.78
cappuccino machine repair,0,2,0,30,0%,6.67%,0,18.57
faema e61 legend s2,0,2,0,30,0%,6.67%,0,28.57
compak grinder e8,0,2,0,29,0%,6.9%,0,5.07
coffee maker repair shop near me,0,2,0,29,0%,6.9%,0,8.48
quick mill vetrano 2b vs rocket r58,0,2,0,28,0%,7.14%,0,8.68
rancilio silvia boiler gasket,0,2,0,28,0%,7.14%,0,9
rocket water softener,0,2,0,27,0%,7.41%,0,12.11
aerator valve,0,2,0,27,0%,7.41%,0,16.33
rocket espresso water reservoir filter,0,2,0,27,0%,7.41%,0,18.7
commercial pitcher rinser,0,2,0,26,0%,7.69%,0,8.5
sette grinder 270wi,0,2,0,26,0%,7.69%,0,8.88
mahlkonig k30 parts,0,2,0,25,0%,8%,0,15.76
group gasket espresso,0,2,0,24,0%,8.33%,0,6.88
la spaziale s1 mini,0,2,0,24,0%,8.33%,0,7.33
la marzocco gb5 review,0,2,0,23,0%,8.7%,0,6.35
rocket 58 espresso,0,2,0,23,0%,8.7%,0,8.87
dual boiler vs single boiler espresso machine,0,2,0,22,0%,9.09%,0,6.64
coffee machine maintenance near me,0,2,0,21,0%,9.52%,0,5.05
cafelat tubbi knock box,0,2,0,21,0%,9.52%,0,6.62
vst 7g basket,0,2,0,21,0%,9.52%,0,6.86
la spaziale s1 dream review,0,2,0,21,0%,9.52%,0,8.48
espresso group head cleaning brush,0,2,0,20,0%,10%,0,3.5
espresso machine boston,0,2,0,20,0%,10%,0,4.65
best portafilter basket,0,2,0,20,0%,10%,0,16
keurig k150p parts,0,2,0,19,0%,10.53%,0,10.89
fiorenzato evo,0,2,0,18,0%,11.11%,0,5.33
quick mill pegaso,0,2,0,18,0%,11.11%,0,18.11
baratza virtuoso plus review,0,2,0,18,0%,11.11%,0,33.61
unic pony espresso machine,0,2,0,17,0%,11.76%,0,4
rocket espresso mozzafiato evoluzione r review,0,2,0,17,0%,11.76%,0,6.41
izzo alex leva espresso machine,0,2,0,17,0%,11.76%,0,16
nuova simonelli appia 2 portafilter size,0,2,0,16,0%,12.5%,0,3.62
compak pk100,0,2,0,16,0%,12.5%,0,16.38
slayer espresso for sale,0,2,0,15,0%,13.33%,0,6.67
victoria arduino leva,0,2,0,15,0%,13.33%,0,10.07
gs3 av vs mp,0,2,0,15,0%,13.33%,0,10.87
la marzocco repair near me,0,2,0,14,0%,14.29%,0,8.07
rinser pitcher,0,2,0,14,0%,14.29%,0,13.5
mahlkonig k30 short hopper,0,2,0,13,0%,15.38%,0,2
linea mini portafilter size,0,2,0,13,0%,15.38%,0,7.23
la spaziale s1 vivaldi ii espresso machine,0,2,0,12,0%,16.67%,0,2.5
quick mill review,0,2,0,12,0%,16.67%,0,6.17
mini mazzer coffee grinder,0,2,0,12,0%,16.67%,0,18.42
vetrano 2b manual,0,2,0,10,0%,20%,0,3.8
grouphead thermometer,0,2,0,9,0%,22.22%,0,4.33
quickmill qm 67,0,2,0,8,0%,25%,0,11.12
rocket r nine one test,0,2,0,7,0%,28.57%,0,7.43
k30 vario grinder,0,2,0,7,0%,28.57%,0,15.29
enea grinder,0,2,0,6,0%,33.33%,0,3.33
blendtec ez 600 review,0,2,0,6,0%,33.33%,0,6.5
rocket espresso mozzafiato type v review,0,2,0,6,0%,33.33%,0,7.83
coffee sensor thermometer,0,2,0,6,0%,33.33%,0,11
2 hole steam tip,0,2,0,5,0%,40%,0,9
motta tamping mat,0,2,0,3,0%,66.67%,0,7.33
ochis coffe,0,2,0,2,0%,100%,0,1.5
wholesale coffee suppliers,0,1,0,861,0%,0.12%,0,32.33
simonelli,0,1,0,782,0%,0.13%,0,25.93
gb5,0,1,0,756,0%,0.13%,0,8.97
commercial coffee brewer,0,1,0,709,0%,0.14%,0,28.28
coffee services near me,0,1,0,700,0%,0.14%,0,85.67
shower screens,0,1,0,694,0%,0.14%,0,71.13
faema espresso machine,0,1,0,644,0%,0.16%,0,39.83
espresso machines for sale,0,1,0,644,0%,0.16%,0,46.09
chocolate raspberry coffee,0,1,0,584,0%,0.17%,0,73.85
espresso knock box,0,1,0,539,0%,0.19%,0,45.81
commercial coffee filters,0,1,0,537,0%,0.19%,0,12.83
la marzocco espresso machine,0,1,0,536,0%,0.19%,0,37.16
marzocco gs3,0,1,0,492,0%,0.2%,0,27.66
tarrazu,0,1,0,445,0%,0.22%,0,20.32
k150p,0,1,0,433,0%,0.23%,0,11.83
super jolly grinder,0,1,0,399,0%,0.25%,0,17.67
costa rican tarrazu coffee beans,0,1,0,393,0%,0.25%,0,25.3
e5p,0,1,0,392,0%,0.26%,0,25.2
silvia rancilio,0,1,0,382,0%,0.26%,0,8.01
coffee machine vendors,0,1,0,372,0%,0.27%,0,56.86
compak coffee grinder,0,1,0,356,0%,0.28%,0,17.23
simonelli grinder,0,1,0,350,0%,0.29%,0,9.5
baratza forte,0,1,0,347,0%,0.29%,0,23.03
dow 111,0,1,0,329,0%,0.3%,0,39.46
chriss,0,1,0,319,0%,0.31%,0,35.24
cafe essentials,0,1,0,309,0%,0.32%,0,8.82
mazzer mini doserless,0,1,0,293,0%,0.34%,0,16.34
mazzer major electronic,0,1,0,293,0%,0.34%,0,23.73
steam arm,0,1,0,273,0%,0.37%,0,8.6
k30 grinder,0,1,0,273,0%,0.37%,0,15.64
rocket giotto evoluzione v2,0,1,0,265,0%,0.38%,0,12.51
vacuum breaker valve,0,1,0,249,0%,0.4%,0,49.83
cafelat,0,1,0,248,0%,0.4%,0,31.14
coconut flavored coffee,0,1,0,232,0%,0.43%,0,44.5
giotto espresso machine,0,1,0,225,0%,0.44%,0,7.84
rocket milano espresso,0,1,0,217,0%,0.46%,0,41.74
baratza encore conical burr coffee grinder,0,1,0,217,0%,0.46%,0,59.39
commercial espresso grinders,0,1,0,215,0%,0.47%,0,40.42
keurig commercial,0,1,0,213,0%,0.47%,0,39.09
mahlkonig grinders,0,1,0,208,0%,0.48%,0,30.33
la marzocco portafilter,0,1,0,207,0%,0.48%,0,27.96
commercial office coffee machines,0,1,0,205,0%,0.49%,0,18.93
water solenoid valve 220v,0,1,0,203,0%,0.49%,0,31.43
mahlkonig ek 43,0,1,0,198,0%,0.51%,0,8.12
ek grinder,0,1,0,196,0%,0.51%,0,10.14
nuova simonelli appia,0,1,0,192,0%,0.52%,0,25.36
commercial lever espresso machine,0,1,0,191,0%,0.52%,0,12.23
nuova simonelli appia 2,0,1,0,186,0%,0.54%,0,15.79
appartamento espresso,0,1,0,185,0%,0.54%,0,7.66
cafelat tamper,0,1,0,176,0%,0.57%,0,5.44
barista pitcher,0,1,0,174,0%,0.57%,0,7.29
ceado e37,0,1,0,172,0%,0.58%,0,16.34
baratza vario-w,0,1,0,171,0%,0.58%,0,11.37
curtis airpot brewer,0,1,0,170,0%,0.59%,0,9.76
timer switch,0,1,0,167,0%,0.6%,0,71.77
mazzer grinder,0,1,0,166,0%,0.6%,0,50.99
rancilio silvia parts,0,1,0,165,0%,0.61%,0,41.69
